27, 4044
2329, 10844964
4628, 10846040
6928, 10846776
9230, 10847644
11533, 10848608
13838, 10849392
16142, 10850292
18440, 10851192
20744, 10852108
23048, 10852980
25350, 10853996
27654, 10854820
29958, 10855836
32262, 10856644
34566, 10857680
36872, 10858172
39178, 10858244
41487, 11078160
43801, 11560128
46113, 11811448
48428, 11811448
50747, 11811448
53062, 11811572
55381, 11871472
57700, 12143556
60025, 12513576
62358, 13000828
64687, 13262652
67020, 13262652
69353, 13262652
71686, 13262780
74023, 13368440
76366, 13612996
78705, 13948140
81053, 14434772
83398, 14707916
85751, 14707916
88094, 14707916
90444, 14707916
92794, 14798692
95152, 15056188
97513, 15381824
99875, 15880872
102239, 16161524
104606, 16161524
106973, 16161524
109336, 16161524
111707, 16267280
114077, 16520956
116451, 16850480
118834, 17349704
121210, 17623564
123585, 17623564
125961, 17623564
128338, 17623564
130714, 17728060
133096, 17983892
135480, 18315260
137865, 18801404
140263, 19055476
142658, 19055476
145058, 19055476
147450, 19055476
149856, 19196064
152260, 19455468
154662, 19796796
157070, 20268764
159485, 20480076
161894, 20480076
164303, 20480076
166700, 20480076
169106, 20657568
171526, 20938848
173949, 21317368
176373, 21836344
178802, 21949164
181234, 21949164
183661, 21949164
186092, 21949164
188532, 22164508
190969, 22464640
193409, 22830356
195854, 23376096
198299, 23407376
200737, 23407376
203186, 23407376
205229, 21844
